1631597128.3759,1,11.5460
1631597154.6777,2,11.5437
1631597172.6435,3,11.5401
1631597191.1783,4,11.5384
1631597209.1473,5,11.5386
1631597227.2305,6,11.5443
1631597253.7078,7,11.5403
1631597271.6899,8,11.5412
1631597289.6750,9,11.5409
1631597307.6331,10,11.5356
1631597325.5286,11,11.5445
1631597352.1176,12,11.5437
1631597370.1263,13,11.5423
1631597388.1097,14,11.5448
1631597406.1430,15,11.5409
1631597424.0498,16,11.5435
1631597450.5573,17,11.3914
1631597468.4959,18,10.3026
1631597486.3943,19,10.3283
1631597504.3776,20,10.3614
1631597522.2205,21,10.3723
1631597548.7299,22,10.8799
1631597566.6512,23,10.8884
1631597584.5782,24,10.7046
1631597602.7038,25,10.0359
1631597620.5362,26,9.8484
1631597647.0762,27,9.6380
1631597665.0090,28,9.6131
1631597682.9134,29,9.5512
1631597700.8396,30,9.3675
1631597718.6481,31,9.3165
1631597745.1869,32,9.0602
1631597763.1087,33,8.9834
1631597781.0575,34,9.0951
1631597798.9812,35,8.9433
1631597816.7422,36,8.7812
1631597843.2652,37,8.8251
1631597861.1873,38,8.7540
1631597879.1037,39,8.7668
1631597897.7287,40,8.6498
1631597915.5558,41,8.6062
1631597994.2652,37,8.8334
1631598014.2132,38,8.9683
1631598025.3814,39,8.8271
1631598036.5725,40,8.8297
1631598047.7823,41,8.6955
1631598059.0149,42,8.6710
1631598070.1812,43,8.9682
1631598081.4399,44,8.9828
1631598092.6979,45,8.6763
1631598112.5853,46,8.6566
1631598123.8052,47,8.6262
1631598135.0857,48,8.4837
1631598146.3250,49,8.5135
1631598157.5948,50,8.4384
1631598168.8559,51,8.4389
1631598180.1193,52,8.3556
1631598191.3466,53,8.2861
1631598211.2453,54,8.2577
1631598222.4834,55,8.2311
1631598233.7460,56,8.2173
1631598245.3433,57,8.1594
1631598256.6026,58,8.0749
1631598267.8788,59,8.0819
1631598279.5729,60,8.0765
1631598290.8411,61,8.0160
1631598302.0386,62,7.9432
1631598321.9718,63,7.9880
1631598333.2153,64,7.9661
1631598344.4872,65,7.8992
1631598355.8420,66,7.8516
1631598367.0988,67,7.8426
1631598378.3279,68,7.8108
1631598389.5058,69,7.7270
1631598401.2052,70,7.7266
1631598421.0105,71,7.6991
1631598432.6686,72,7.6709
1631598443.8621,73,7.6187
1631598455.1911,74,7.6208
1631598466.4428,75,7.5839
1631598477.8482,76,7.5452
1631598489.1756,77,7.5843
1631598500.6259,78,7.5200
1631598520.4613,79,7.5604
1631598531.6296,80,7.5133
1631598542.8624,81,7.4983
1631598554.1365,82,7.4730
1631598565.3959,83,7.4699
1631598576.6417,84,7.4844
1631598588.0451,85,7.4456
1631598599.5091,86,7.4332
1631598611.1444,87,7.4434
1631598631.2606,88,7.4170
1631598642.6676,89,7.4519
1631598654.3282,90,7.3960
1631598665.7572,91,7.4264
1631598677.4108,92,7.4517
1631598688.8425,93,7.3965
1631598700.2886,94,7.3302
1631598711.5426,95,7.3821
1631598731.4660,96,7.3040
1631598742.6672,97,7.3425
1631598753.8860,98,7.3216
1631598765.1096,99,7.3058
1631598776.2850,100,7.2821
1631598787.5003,101,7.2805
1631598798.6460,102,7.2594
1631598881.6594,88,7.4418
1631598899.6257,89,7.4353
1631599041.7265,88,7.4411
1631599061.6165,89,7.4647
1631599072.9135,90,7.3796
1631599084.5232,91,7.4362
1631599095.9298,92,7.4263
1631599184.0729,88,7.4418
1631599201.9233,89,7.4353
1631599211.1080,90,7.4144
1631599220.2304,91,7.3945
1631599229.4299,92,7.4395
1631599238.5672,93,7.3808
1631599247.8185,94,7.3590
1631599257.1690,95,7.3806
1631599266.3527,96,7.2991
1631599275.6812,97,7.3102
1631599284.8565,98,7.3023
1631599294.1605,99,7.3340
1631599312.2299,100,7.2831
1631599321.3494,101,7.3010
1631599330.5341,102,7.3212
1631599339.7696,103,7.2902
1631599349.0101,104,7.3028
1631599358.3856,105,7.2682
1631599367.5740,106,7.2358
1631599376.9012,107,7.2221
