load_chkpt,1631599797.648064,1631599803.3166215,5.668557643890381
move-to-cpu,1631599838.1998334,1631599840.1440778,1.944244384765625
move-to-cpu,1631599946.8736336,1631599948.9375496,2.063915967941284
move-to-cpu,1631600055.5554519,1631600057.5622048,2.0067529678344727
move-to-cpu,1631600164.4951978,1631600166.55789,2.062692165374756
move-to-cpu,1631600274.108659,1631600276.1662421,2.0575830936431885
load_chkpt,1631603355.002982,1631603360.5379908,5.535008907318115
move-to-cpu,1631603404.1074378,1631603406.0266242,1.9191863536834717
move-to-cpu,1631603519.439058,1631603521.3970053,1.9579472541809082
move-to-cpu,1631603635.1453683,1631603637.0882492,1.9428808689117432
move-to-cpu,1631603751.2380538,1631603753.1634212,1.9253673553466797
move-to-cpu,1631603867.4863338,1631603869.4164538,1.9301199913024902
