16,1631597090.71843,1631597106.0841465,15.365716457366943
32,1631597918.1215515,1631597980.2852464,62.163694858551025
48,1631598800.2678735,1631598869.627908,69.3600344657898
32,1631598912.797118,1631599029.308267,116.51114916801453
48,1631599104.233629,1631599173.3086026,69.07497358322144
64,1631599756.4951816,1631599827.1323915,70.63720989227295
16,1631600347.9512188,1631600486.0197608,138.0685420036316
48,1631601494.4845665,1631601574.5097902,80.02522373199463
32,1631601675.2657135,1631601810.5801303,135.31441688537598
48,1631601890.4454343,1631601960.9530933,70.50765895843506
32,1631602151.700581,1631602218.3558702,66.65528917312622
64,1631603283.0163941,1631603392.259216,109.24282193183899
32,1631603970.676689,1631604034.9266586,64.24996972084045
48,1631605100.0602396,1631605176.0483258,75.9880862236023
48,1631605255.0891461,1631605366.352694,111.26354789733887
16,1631605761.878693,1631605840.882511,79.00381779670715
