2021-12-11, 11:11:30, 55
2021-12-11, 11:13:10, 55
2021-12-11, 11:14:50, 55
2021-12-11, 11:15:50, 54
2021-12-11, 11:19:50, 54
2021-12-11, 11:21:30, 54
2021-12-11, 11:23:10, 54
2021-12-11, 11:27:30, 54
2021-12-11, 11:30:46, 50
2021-12-11, 11:31:46, 50
2021-12-11, 11:40:09, 50
2021-12-11, 11:42:19, 38
2021-12-11, 12:10:06, 38
2021-12-11, 12:11:46, 38
2021-12-11, 12:13:26, 38
2021-12-11, 12:16:46, 50
2021-12-11, 12:18:26, 50
2021-12-11, 12:20:06, 50
2021-12-11, 13:10:06, 50
2021-12-11, 13:14:00, 56
2021-12-11, 13:17:20, 56
2021-12-11, 13:19:00, 56
2021-12-11, 13:20:40, 56
2021-12-11, 13:22:20, 56
2021-12-11, 13:24:00, 56
2021-12-11, 13:48:22, 56
2021-12-11, 13:48:41, 58
2021-12-11, 13:50:56, 58
2021-12-11, 13:51:16, 56
2021-12-11, 14:08:00, 56
2021-12-11, 14:08:12, 55
2021-12-11, 14:13:13, 55
2021-12-11, 14:14:32, 56
2021-12-11, 15:58:22, 56
2021-12-11, 16:00:00, 60
2021-12-11, 16:44:41, 60
2021-12-11, 16:45:11, 60
2021-12-11, 16:46:51, 60
2021-12-11, 16:48:31, 64
2021-12-11, 16:51:11, 64
2021-12-11, 16:52:51, 64
2021-12-11, 16:54:31, 54
2021-12-11, 16:57:45, 54
2021-12-11, 16:59:25, 54
2021-12-11, 17:01:05, 54
2021-12-11, 17:02:51, 54
2021-12-11, 17:04:31, 54
2021-12-11, 17:06:11, 54
2021-12-11, 17:09:21, 54
2021-12-11, 17:11:01, 54
2021-12-11, 17:12:41, 64
2021-12-11, 17:31:53, 64
2021-12-11, 17:33:33, 64
2021-12-11, 17:35:13, 58
2021-12-11, 17:53:58, 58
2021-12-11, 17:55:38, 58
2021-12-11, 17:57:18, 56
2021-12-11, 17:58:56, 56
2021-12-11, 18:00:36, 56
